ID_global	ID_construction	source	via	construction	contruction_type	surface_change	mode	occurring_sentence	hypoth_counterpart	occ_gpt3_no_tokens	occ_gpt3_avg_delta-uid	occ_gpt3_avg_mu-uid	occ_gpt3_avg_rtm	occ_gpt3_avg_diff_for_low-ic	hyp_gpt3_no_tokens	hyp_gpt3_avg_delta-uid	hyp_gpt3_avg_mu-uid	hyp_gpt3_avg_rtm	hyp_gpt3_avg_diff_for_low-ic	gpt3_delta-uid_correct	gpt3_mu-uid_correct	gpt3_rtm_correct	gpt3_low-ic_correct	occ_gpt2_no_tokens	occ_gpt2_avg_delta-uid	occ_gpt2_avg_mu-uid	occ_gpt2_avg_rtm	occ_gpt2_avg_diff_for_low-ic	hyp_gpt2_no_tokens	hyp_gpt2_avg_delta-uid	hyp_gpt2_avg_mu-uid	hyp_gpt2_avg_rtm	hyp_gpt2_avg_diff_for_low-ic	gpt2_delta-uid_correct	gpt2_mu-uid_correct	gpt2_rtm_correct	gpt2_low-ic_correct
10	11010	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	You know, the best thing for you to do is just to get on the stage and start doing it	You know, the best thing for you to do is just get on the stage and start doing it	20	1,7921	1,2357	2,7721	-2,6122	19	1,8221	1,2886	2,6855	-2,5353	1	1	0	1	20	2,0641	1,2813	2,1775	-1,9218	19	2,1562	1,3521	2,2411	-1,9559	1	1	1	0
11	11011	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing I have to do is just to get out of this place and find a new place to live	The first thing I have to do is just get out of this place and find a new place to live	21	2,4971	1,7485	3,1227	-2,2621	20	2,4886	1,7558	3,2361	-2,3338	0	1	1	0	21	1,6919	1,2822	2,3907	-2,3297	20	1,8061	1,3195	2,4264	-2,3624	1	1	1	0
12	11012	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	we are in a state of grief and the most appropriate thing to do is to just grieve for what is being lost	we are in a state of grief and the most appropriate thing to do is just grieve for what is being lost	23	2,5728	2,1645	2,4294	-1,3994	22	2,6933	2,1013	2,3729	-1,2615	1	0	0	1	23	2,4828	1,9589	2,3508	-1,6556	22	2,6067	1,9057	2,2654	-1,5766	1	0	0	1
13	11013	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	these historic legacies if they exist and maybe the best thing to do is just to leave that in place and let it be capped	these historic legacies if they exist and maybe the best thing to do is just leave that in place and let it be capped	25	3,1305	2,7138	2,8704	-0,4706	24	3,1027	2,7261	2,8292	-0,3182	0	1	0	1	25	2,6294	2,2748	2,6419	-0,7553	24	2,6227	2,3065	2,6166	-0,6344	0	1	0	1
14	11014	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So we decided the final thing to do was just to legalize it	So we decided the final thing to do was just legalize it	12	3,3474	2,3748	2,4287	-0,9819	11	3,1901	2,329	2,3909	-0,6446	0	0	0	1	12	2,8087	2,3114	2,2748	-0,7817	11	2,6315	2,2727	2,2191	-0,5713	0	0	0	1
15	11015	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But won't he -- wouldn't the smarter thing to do be just to let it die quietly, as quietly as possible?	But won't he -- wouldn't the smarter thing to do be just let it die quietly, as quietly as possible?	24	3,5388	2,5886	3,1621	-1,3598	23	3,5955	2,6921	3,1012	-1,1201	1	1	0	1	24	3,601	2,5467	2,7213	-0,874	23	3,479	2,5399	2,6223	-0,7556	0	0	0	1
16	11016	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But what he can really do is just to limit the damage	But what he can really do is just limit the damage	11	2,7028	1,8273	2,0517	-1,1864	10	2,9546	2,059	2,2107	-1,1367	1	1	1	1	11	2,6185	1,8646	1,7938	-0,801	10	2,7617	2,0169	1,8761	-0,7153	1	1	1	1
17	11017	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, the first thing I'd encourage you to do is just to limit the number to start with	Well, the first thing I'd encourage you to do is just limit the number to start with	19	4,2894	3,0041	3,6643	-1,3968	18	4,0209	3,1538	3,7506	-1,3427	0	1	1	1	19	2,8954	2,3303	2,9185	-1,5604	18	3,0134	2,4837	3,0144	-1,5444	1	1	1	1
18	11018	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What I try to do is to just plow ahead, do what I think is right, try to remember	What I try to do is just plow ahead, do what I think is right, try to remember	21	2,5555	2,2909	3,2995	-2,2335	20	2,7556	2,326	3,3003	-2,1815	1	1	1	1	21	2,646	2,0088	2,6339	-1,9544	20	2,8011	2,0561	2,6595	-1,9145	1	1	1	1
19	11019	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I would think that what he would do is to just prove it	I would think that what he would do is just prove it	12	2,7047	2,1154	2,1484	-0,7818	11	3,0121	2,0129	1,9873	-0,6774	1	0	0	1	12	2,3513	1,5579	1,8681	-1,0806	11	2,5656	1,5339	1,8518	-1,004	1	0	0	1
20	11020	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, I think the minimum he would have to do is to allow that inspection team into the Agriculture Ministry forthwith	Well, I think the minimum he would have to do is allow that inspection team into the Agriculture Ministry forthwith	22	5,5015	4,561	4,5348	0,0721	21	5,8608	4,7422	4,6411	0,3033	1	1	1	1	22	3,7259	3,1713	3,2059	-0,1898	21	3,962	3,3193	3,3282	-0,0625	1	1	1	1
21	11021	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So if he doesn't want her, the thing to do is to announce his choice sooner rather than later, right	So if he doesn't want her, the thing to do is announce his choice sooner rather than later, right	22	3,178	2,6554	2,8825	-1,321	21	3,3342	2,5889	2,7716	-1,2202	1	0	0	1	22	2,8325	2,194	2,5797	-1,4868	21	3,0397	2,2447	2,5732	-1,3862	1	1	0	1
22	11022	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And instead of trying to trick me, what they should have done is to ask me specific questions	And instead of trying to trick me, what they should have done is ask me specific questions	18	4,196	2,7754	3,1996	-1,4384	17	4,505	2,9601	3,2456	-1,4114	1	1	1	1	18	3,4486	2,1414	2,7238	-1,6598	17	3,798	2,3018	2,7319	-1,5793	1	1	1	1
23	11023	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	on camera What I try to do is to ask the question that I know everyone at home wants answered, and I have	on camera What I try to do is ask the question that I know everyone at home wants answered, and I have	23	2,2802	2,302	2,6871	-1,2303	22	2,3874	2,2818	2,7306	-1,2638	1	0	1	0	23	1,7471	1,9798	2,438	-1,1121	22	1,8563	2,0068	2,4166	-1,036	1	1	0	1
24	11024	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So sort of the first thing that I tried to do was to ask the question, What do simple programs typically do?'	So sort of the first thing that I tried to do was ask the question, What do simple programs typically do?'	23	3,5802	2,8558	3,2246	-1,1285	22	3,8945	2,9892	3,261	-0,9324	1	1	1	1	23	3,1025	2,5535	2,716	-1,0663	22	3,3141	2,6121	2,7156	-0,9316	1	1	0	1
25	11025	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What Judge Thomas' defenders have tried to do is to attack Ms. Hill's credibility in a variety of ways	What Judge Thomas' defenders have tried to do is attack Ms. Hill's credibility in a variety of ways	21	2,8132	3,1093	3,4506	-1,5977	20	2,9734	3,2176	3,4718	-1,4023	1	1	1	1	21	3,0887	2,4478	2,6766	-1,0011	20	3,2362	2,5363	2,7222	-0,8843	1	1	1	1
26	11026	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Wait a minute, George- the last thing we want presidents to do is to be able to think on their feet and make snap decisions?	Wait a minute, George- the last thing we want presidents to do is be able to think on their feet and make snap decisions?	27	3,2791	2,4833	3,2021	-1,449	26	3,4926	2,5586	3,145	-1,3233	1	1	0	1	27	3,1973	2,4555	2,7972	-1,1914	26	3,2518	2,511	2,8377	-1,1992	1	1	1	0
27	11027	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	about ethical positions, and a part of what we're trying to do is to be clear about -- about those values	about ethical positions, and a part of what we're trying to do is be clear about -- about those values	22	2,4868	2,459	2,7961	-0,825	21	2,6969	2,4795	2,648	-0,5952	1	1	0	1	22	2,4412	2,2657	2,6916	-1,0915	21	2,6435	2,3765	2,6247	-0,8853	1	1	0	1
28	11028	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	about this, but also I think what these artists are trying to do is to be emotionally honest	about this, but also I think what these artists are trying to do is be emotionally honest	18	2,4465	2,253	2,3775	-0,9652	17	2,5627	2,3235	2,4095	-0,776	1	1	1	1	18	1,8113	1,8032	2,0388	-1,2862	17	1,9518	1,8861	2,0202	-1,1026	1	1	0	1
29	11029	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think what we have to do is to be smart about competition in the world	I think what we have to do is be smart about competition in the world	15	2,6619	1,9077	2,6451	-1,7325	14	2,8832	2,0414	2,5301	-1,601	1	1	0	1	15	2,4568	1,8184	2,4138	-1,5752	14	2,6374	1,9866	2,3468	-1,4373	1	1	0	1
30	11030	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And so what were asking people to do is to be prepared	And so what were asking people to do is be prepared	11	2,2509	2,2437	2,7622	-1,444	10	2,8259	2,2895	2,5642	-0,9925	1	1	0	1	11	2,4821	2,0713	2,0462	-0,3569	10	2,8744	2,0549	2,0494	-0,0275	1	0	1	1
31	11031	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	As long as you're with someone else, the decent thing to do is to be with her and not to cheat on her because you wouldn't want someone	As long as you're with someone else, the decent thing to do is be with her and not cheat on her because you wouldn't want someone	30	2,8069	2,5996	3,1276	-1,7221	28	3,0093	2,6109	3,078	-1,5839	1	1	0	1	30	2,9209	2,0497	2,6929	-1,741	28	3,1758	2,1776	2,6554	-1,6255	1	1	0	1
32	11032	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we are trying to encourage them to do is to be willing to take reasonable and responsible risks for peace	What we are trying to encourage them to do is be willing to take reasonable and responsible risks for peace	20	3,7665	3,5852	3,7693	-0,9196	19	3,8847	3,5459	3,5774	-0,5838	1	0	0	1	20	2,7505	2,1582	2,5485	-1,3368	19	2,9151	2,2063	2,4953	-1,2147	1	1	0	1
33	11033	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	All I want them to do is to be authorized	All I want them to do is be authorized	9	3,7142	3,3637	3,7367	-1,119	8	4,31	3,5205	3,6743	-0,615	1	1	0	1	9	2,8768	2,4335	2,7939	-1,0812	8	3,2608	2,5137	2,7251	-0,8455	1	1	0	1
34	11034	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But the thing that he's done is to be not just filled with the tactics, he's been dishonest with it	But the thing that he's done is be not just filled with the tactics, he's been dishonest with it	22	4,6539	2,7477	2,9459	-0,5451	21	4,8588	2,9709	3,0581	-0,3664	1	1	1	1	22	4,0821	2,3271	2,6479	-0,722	21	4,159	2,5381	2,758	-0,6597	1	1	1	1
35	11035	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But all Obama had to do was to be reassuring	But all Obama had to do was be reassuring	9	3,0846	3,1093	3,3184	-0,6416	8	3,5734	3,4097	3,5012	-0,4053	1	1	1	1	9	2,8235	2,8017	2,8758	-0,6671	8	3,2302	3,1457	3,1457	-0,5682	1	1	1	1
36	11036	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	if it occurs, and one of the things we will want to do is to be ready to go with a vaccine	if it occurs, and one of the things we will want to do is be ready to go with a vaccine	22	2,2144	1,8012	2,1644	-1,4974	21	2,3142	1,8114	2,0992	-1,3871	1	1	0	1	22	2,3162	1,8557	2,165	-1,4313	21	2,548	1,8975	2,1592	-1,2785	1	1	0	1
37	11037	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The other thing that you can do is to bring a little bit of Christmas into it and a little bit of sparkle is	The other thing that you can do is bring a little bit of Christmas into it and a little bit of sparkle is	24	3,0208	2,2161	2,99	-2,0564	23	3,1878	2,2169	2,941	-1,964	1	1	0	1	24	3,0323	2,0856	2,8827	-1,8797	23	3,2231	2,1536	2,8749	-1,8345	1	1	0	1
38	11038	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What my proposal does is to bring innovation and change to the way the federal government works	What my proposal does is bring innovation and change to the way the federal government works	16	2,4225	2,2604	2,8903	-1,5555	15	2,5049	2,3647	2,8455	-1,4422	1	1	0	1	16	2,6345	1,9742	2,3864	-1,2635	15	2,7813	2,0341	2,406	-1,2452	1	1	1	1
39	11039	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you have to do is to bring out the act itself not demonize the people behind it	What you have to do is bring out the act itself not demonize the people behind it	18	3,212	2,7739	3,124	-1,0503	17	3,6313	2,9408	3,2015	-0,8864	1	1	1	1	18	3,0499	2,4743	2,5668	-0,811	17	3,1489	2,5963	2,641	-0,7549	1	1	1	1
40	11040	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	what the Chinese have agreed to do is to build rail networks to go with that	what the Chinese have agreed to do is build rail networks to go with that	15	2,5737	1,8113	1,8521	-0,314	14	2,6912	1,8246	1,8259	-0,0093	1	1	0	1	15	2,9837	1,7266	1,8681	-0,4396	14	3,3568	2,1294	2,1298	-0,0027	1	1	1	1
41	11041	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The second thing we're trying to do is to build a global alliance for peace and freedom and security	The second thing we're trying to do is build a global alliance for peace and freedom and security	19	1,8247	1,5897	2,1081	-1,906	18	2,0326	1,6103	1,979	-1,7526	1	1	0	1	19	1,9076	1,6106	2,1357	-1,5575	18	2,0989	1,6761	2,1079	-1,438	1	1	0	1
42	11042	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	One of the things you might do is to buy this book, Journey to Justice, and I tell you about	One of the things you might do is buy this book, Journey to Justice, and I tell you about	21	4,0034	2,8356	2,9793	-0,3355	20	4,0818	2,7339	2,8261	-0,2908	1	0	0	1	21	3,5642	2,1116	2,5864	-1,047	20	3,6885	2,1323	2,5912	-1,0108	1	1	1	1
43	11043	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And, what I would do is to call upon the press to police yourselves and to try and be responsible	And, what I would do is call upon the press to police yourselves and to try and be responsible	20	2,7169	1,9816	2,2042	-0,8194	19	2,8694	2,0046	2,1902	-0,7163	1	1	0	1	20	2,7715	1,8155	2,0078	-0,9287	19	2,9582	1,8143	1,9795	-0,8704	1	0	0	1
44	11044	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	if you're not near the shore line, the best thing to do is to call for help and try to keep the victim calm	if you're not near the shore line, the best thing to do is call for help and try to keep the victim calm	25	2,9818	2,3332	2,7162	-1,2834	24	3,229	2,3718	2,6611	-1,1157	1	1	0	1	25	2,6961	1,7385	2,3301	-1,7231	24	2,8138	1,7686	2,3059	-1,6393	1	1	0	1
45	11045	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	what we have to do is to change the Constitution	what we have to do is change the Constitution	9	2,5743	1,9776	2,5535	-1,5375	8	3,226	2,2718	2,6585	-1,2618	1	1	1	1	9	2,3592	1,8048	2,3595	-1,571	8	2,6432	1,9314	2,3773	-1,5315	1	1	1	1
46	11046	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	the last thing to do was to change into new clothes	the last thing to do was change into new clothes	10	2,8689	1,8942	1,9615	-1,1276	9	2,4318	1,8242	1,8332	-0,5969	0	0	0	1	10	2,1508	1,7951	1,9111	-1,0289	9	2,074	1,7412	1,7935	-0,6952	0	0	0	1
47	11047	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What I want to do is to change the incentives for the' 90s	What I want to do is change the incentives for the 90s	14	5,1699	4,2901	4,3826	-0,1745	12	4,9321	3,1138	3,3752	-0,6687	0	0	0	0	14	3,579	2,7305	3,0874	-0,8477	12	3,4774	2,065	2,7056	-1,5244	0	0	0	0
48	11048	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	it's off limits, and what we're trying to do is to change that	it's off limits, and what we're trying to do is change that	15	2,1448	2,0885	2,44	-1,391	14	2,3181	2,1389	2,4164	-1,2778	1	1	0	1	15	2,1218	1,7091	2,5017	-1,8628	14	2,2639	1,7905	2,4984	-1,8336	1	1	0	1
49	11049	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing to do is to communicate how you're feeling, and a lot of people are feeling very scared	The first thing to do is communicate how you're feeling, and a lot of people are feeling very scared	21	2,9773	2,1947	2,6161	-1,4701	20	3,1955	2,2048	2,6447	-1,3479	1	1	1	1	21	1,9063	1,6189	2,5188	-2,0032	20	2,1335	1,741	2,5386	-1,8811	1	1	1	1
50	11050	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what we want to do is to concentrate on taking the air defenses down, and then we go for secondary targets	So what we want to do is concentrate on taking the air defenses down, and then we go for secondary targets	22	3,6463	2,7121	3,231	-1,3553	21	3,9333	2,806	3,2554	-1,2658	1	1	1	1	22	3,114	2,3225	2,6534	-0,9645	21	3,2772	2,3484	2,654	-0,8996	1	1	1	1
51	11051	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, Larry, what we're going to be able to do is to continue to go out and campaign, raise issues	Well, Larry, what we're going to be able to do is continue to go out and campaign, raise issues	23	4,0035	2,7083	3,2396	-1,5164	22	4,2232	2,7842	3,2625	-1,4289	1	1	1	1	23	3,1131	2,0817	2,6791	-1,5731	22	3,3334	2,1968	2,7552	-1,5725	1	1	1	1
52	11052	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, one of the things that we want to do is to continue to tell people to be cautious	Well, one of the things that we want to do is continue to tell people to be cautious	19	2,9071	1,9491	3,0391	-2,4313	18	3,213	2,0628	3,037	-2,2363	1	1	0	1	19	2,2941	1,5327	2,603	-2,2658	18	2,5261	1,6152	2,6816	-2,2263	1	1	1	1
53	11053	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Again, I would emphasize that what we really have to do is to continue to innovate in our software, integrate those innovations into the software	Again, I would emphasize that what we really have to do is continue to innovate in our software, integrate those innovations into the software	26	2,8307	1,9338	2,532	-1,8258	25	3,0191	1,9942	2,4431	-1,7012	1	1	0	1	26	2,6628	1,66	2,2206	-1,4808	25	2,843	1,7453	2,2592	-1,4456	1	1	1	1
54	11054	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And what I'm trying to do is to continue to move that forward	And what I'm trying to do is continue to move that forward	13	1,9967	1,6988	2,5694	-1,9783	12	2,3967	1,8534	2,6436	-1,8746	1	1	1	1	13	2,1985	1,7252	2,2932	-1,8674	12	2,6355	1,9567	2,3919	-1,7204	1	1	1	1
55	11055	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The last thing we need to do is to continue gridlock on Capitol Hill	The last thing we need to do is continue gridlock on Capitol Hill	14	2,4245	3,4389	3,8396	-0,9352	13	2,6789	3,5613	3,8418	-0,7293	1	1	1	1	14	2,6971	1,9991	2,9834	-1,9554	13	2,8021	2,0951	3,0995	-1,9965	1	1	1	0
56	11056	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And as a duly constituted minority, what I seek to do is to convince as many people as possible that I'm right	And as a duly constituted minority, what I seek to do is convince as many people as possible that I'm right	23	3,009	2,5775	3	-1,5567	22	3,2683	2,6638	3,0285	-1,3872	1	1	1	1	23	2,6502	2,2262	2,6957	-1,6053	22	2,894	2,352	2,7427	-1,4255	1	1	1	1
57	11057	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing the project does is to counsel women, to tell them they are not alone	The first thing the project does is counsel women, to tell them they are not alone	17	3,5591	2,6485	2,8789	-0,9446	16	4,0227	2,8504	3,0296	-0,7586	1	1	1	1	17	2,6583	2,0327	2,5304	-1,0324	16	3,0342	2,1452	2,5338	-0,8354	1	1	1	1
58	11058	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	the first and foremost thing that I would like to see him do is to crack down on these people	the first and foremost thing that I would like to see him do is crack down on these people	19	4,0854	3,0423	3,4635	-1,22	18	4,4492	3,1684	3,4554	-0,9548	1	1	0	1	19	2,4253	1,8554	2,4832	-1,8139	18	2,595	1,9077	2,4498	-1,7239	1	1	0	1
59	11059	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think, really, all I was able to try to do is to create a quintessential spirit of the man	I think, really, all I was able to try to do is create a quintessential spirit of the man	22	4,3808	2,5658	2,8402	-1,1988	21	4,7124	2,6947	2,8873	-1,0815	1	1	1	1	22	4,0563	2,3358	2,5107	-0,897	21	4,2513	2,4151	2,5739	-0,8692	1	1	1	1
60	11060	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we believe we have done and the sponsors of HR-1 have done is to create for the first time the statutory mandate that Griggs established	What we believe we have done and the sponsors of HR-1 have done is create for the first time the statutory mandate that Griggs established	28	3,7946	2,6999	2,735	-0,2454	27	4,0154	2,7131	2,7187	-0,0499	1	1	0	1	28	3,8677	2,5054	2,5449	-0,1233	27	4,0171	2,5404	2,5542	-0,0414	1	1	1	1
61	11061	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	American participation -- that's not widely touted, but what they've done is to create nascent human life solely for the purposes of research	American participation -- that's not widely touted, but what they've done is create nascent human life solely for the purposes of research	25	3,051	3,0317	3,0853	-0,2323	24	3,0626	3,1411	3,159	-0,126	1	1	1	1	25	2,9373	2,8413	2,911	-0,2193	24	3,1682	2,9509	2,9958	-0,1449	1	1	1	1
62	11062	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what we're trying to do is to create public housing as it was once envisioned to be, and that is launching	So what we're trying to do is create public housing as it was once envisioned to be, and that is launching	23	2,3709	2,2704	2,9048	-1,5717	22	2,4697	2,2785	2,8505	-1,5138	1	1	0	1	23	1,8683	1,7715	2,5448	-1,517	22	1,9866	1,8459	2,5371	-1,4283	1	1	0	1
63	11063	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The most important thing that Bretton Woods did was to create two institutions for international cooperation on monetary international problems	The most important thing that Bretton Woods did was create two institutions for international cooperation on monetary international problems	20	3,6296	2,8365	3,0982	-0,8723	19	3,592	2,7467	3,0029	-0,762	0	0	0	1	20	3,1805	2,4902	2,5327	-0,2125	19	3,3628	2,4827	2,4886	-0,0369	1	0	0	1
64	11064	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What government can do is to create a climate so that business develops	What government can do is create a climate so that business develops	12	3,3296	2,7969	2,9105	-0,6815	11	3,5304	2,874	2,9113	-0,4097	1	1	1	1	12	2,8896	2,4845	2,5885	-0,6239	11	3,1583	2,4947	2,5205	-0,3772	1	1	0	1
65	11065	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And what he did was to create system and order	And what he did was create system and order	9	3,1429	1,9382	1,9435	-0,0095	8	3,6337	2,086	1,9959	0,4934	1	1	1	1	9	2,5838	1,835	1,8468	-0,2088	8	3,0452	1,9025	1,9468	0,1771	1	1	1	1
