ID_global	ID_construction	source	via	construction	contruction_type	surface_change	mode	occurring_sentence	hypoth_counterpart	counterpart_less_natural
17	11017	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, the first thing I'd encourage you to do is just to limit the number to start with	Well, the first thing I'd encourage you to do is just limit the number to start with	0
18	11018	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What I try to do is to just plow ahead, do what I think is right, try to remember	What I try to do is just plow ahead, do what I think is right, try to remember	0
19	11019	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I would think that what he would do is to just prove it	I would think that what he would do is just prove it	0
20	11020	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, I think the minimum he would have to do is to allow that inspection team into the Agriculture Ministry forthwith	Well, I think the minimum he would have to do is allow that inspection team into the Agriculture Ministry forthwith	0
21	11021	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So if he doesn't want her, the thing to do is to announce his choice sooner rather than later, right	So if he doesn't want her, the thing to do is announce his choice sooner rather than later, right	0
22	11022	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And instead of trying to trick me, what they should have done is to ask me specific questions	And instead of trying to trick me, what they should have done is ask me specific questions	0
23	11023	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	on camera What I try to do is to ask the question that I know everyone at home wants answered, and I have	on camera What I try to do is ask the question that I know everyone at home wants answered, and I have	0
24	11024	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So sort of the first thing that I tried to do was to ask the question, What do simple programs typically do?'	So sort of the first thing that I tried to do was ask the question, What do simple programs typically do?'	0
25	11025	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What Judge Thomas' defenders have tried to do is to attack Ms. Hill's credibility in a variety of ways	What Judge Thomas' defenders have tried to do is attack Ms. Hill's credibility in a variety of ways	0
26	11026	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Wait a minute, George- the last thing we want presidents to do is to be able to think on their feet and make snap decisions?	Wait a minute, George- the last thing we want presidents to do is be able to think on their feet and make snap decisions?	0
27	11027	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	about ethical positions, and a part of what we're trying to do is to be clear about -- about those values	about ethical positions, and a part of what we're trying to do is be clear about -- about those values	0
28	11028	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	about this, but also I think what these artists are trying to do is to be emotionally honest	about this, but also I think what these artists are trying to do is be emotionally honest	0
29	11029	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think what we have to do is to be smart about competition in the world	I think what we have to do is be smart about competition in the world	0
30	11030	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And so what were asking people to do is to be prepared	And so what were asking people to do is be prepared	0
31	11031	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	As long as you're with someone else, the decent thing to do is to be with her and not to cheat on her because you wouldn't want someone	As long as you're with someone else, the decent thing to do is be with her and not cheat on her because you wouldn't want someone	0
32	11032	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we are trying to encourage them to do is to be willing to take reasonable and responsible risks for peace	What we are trying to encourage them to do is be willing to take reasonable and responsible risks for peace	0
33	11033	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	All I want them to do is to be authorized	All I want them to do is be authorized	0
34	11034	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But the thing that he's done is to be not just filled with the tactics, he's been dishonest with it	But the thing that he's done is be not just filled with the tactics, he's been dishonest with it	0
35	11035	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But all Obama had to do was to be reassuring	But all Obama had to do was be reassuring	0
36	11036	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	if it occurs, and one of the things we will want to do is to be ready to go with a vaccine	if it occurs, and one of the things we will want to do is be ready to go with a vaccine	0
37	11037	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The other thing that you can do is to bring a little bit of Christmas into it and a little bit of sparkle is	The other thing that you can do is bring a little bit of Christmas into it and a little bit of sparkle is	0
38	11038	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What my proposal does is to bring innovation and change to the way the federal government works	What my proposal does is bring innovation and change to the way the federal government works	0
39	11039	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you have to do is to bring out the act itself not demonize the people behind it	What you have to do is bring out the act itself not demonize the people behind it	0
40	11040	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	what the Chinese have agreed to do is to build rail networks to go with that	what the Chinese have agreed to do is build rail networks to go with that	0
41	11041	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The second thing we're trying to do is to build a global alliance for peace and freedom and security	The second thing we're trying to do is build a global alliance for peace and freedom and security	0
42	11042	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	One of the things you might do is to buy this book, Journey to Justice, and I tell you about	One of the things you might do is buy this book, Journey to Justice, and I tell you about	0
43	11043	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And, what I would do is to call upon the press to police yourselves and to try and be responsible	And, what I would do is call upon the press to police yourselves and to try and be responsible	0
44	11044	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	if you're not near the shore line, the best thing to do is to call for help and try to keep the victim calm	if you're not near the shore line, the best thing to do is call for help and try to keep the victim calm	0
45	11045	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	what we have to do is to change the Constitution	what we have to do is change the Constitution	0
46	11046	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	the last thing to do was to change into new clothes	the last thing to do was change into new clothes	0
47	11047	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What I want to do is to change the incentives for the' 90s	What I want to do is change the incentives for the 90s	0
48	11048	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	it's off limits, and what we're trying to do is to change that	it's off limits, and what we're trying to do is change that	0
49	11049	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing to do is to communicate how you're feeling, and a lot of people are feeling very scared	The first thing to do is communicate how you're feeling, and a lot of people are feeling very scared	0
50	11050	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what we want to do is to concentrate on taking the air defenses down, and then we go for secondary targets	So what we want to do is concentrate on taking the air defenses down, and then we go for secondary targets	0
51	11051	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, Larry, what we're going to be able to do is to continue to go out and campaign, raise issues	Well, Larry, what we're going to be able to do is continue to go out and campaign, raise issues	0
52	11052	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, one of the things that we want to do is to continue to tell people to be cautious	Well, one of the things that we want to do is continue to tell people to be cautious	0
53	11053	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Again, I would emphasize that what we really have to do is to continue to innovate in our software, integrate those innovations into the software	Again, I would emphasize that what we really have to do is continue to innovate in our software, integrate those innovations into the software	0
54	11054	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And what I'm trying to do is to continue to move that forward	And what I'm trying to do is continue to move that forward	0
55	11055	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The last thing we need to do is to continue gridlock on Capitol Hill	The last thing we need to do is continue gridlock on Capitol Hill	0
56	11056	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And as a duly constituted minority, what I seek to do is to convince as many people as possible that I'm right	And as a duly constituted minority, what I seek to do is convince as many people as possible that I'm right	0
57	11057	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing the project does is to counsel women, to tell them they are not alone	The first thing the project does is counsel women, to tell them they are not alone	0
58	11058	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	the first and foremost thing that I would like to see him do is to crack down on these people	the first and foremost thing that I would like to see him do is crack down on these people	0
59	11059	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think, really, all I was able to try to do is to create a quintessential spirit of the man	I think, really, all I was able to try to do is create a quintessential spirit of the man	0
60	11060	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we believe we have done and the sponsors of HR-1 have done is to create for the first time the statutory mandate that Griggs established	What we believe we have done and the sponsors of HR-1 have done is create for the first time the statutory mandate that Griggs established	0
61	11061	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	American participation -- that's not widely touted, but what they've done is to create nascent human life solely for the purposes of research	American participation -- that's not widely touted, but what they've done is create nascent human life solely for the purposes of research	0
62	11062	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what we're trying to do is to create public housing as it was once envisioned to be, and that is launching	So what we're trying to do is create public housing as it was once envisioned to be, and that is launching	0
63	11063	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The most important thing that Bretton Woods did was to create two institutions for international cooperation on monetary international problems	The most important thing that Bretton Woods did was create two institutions for international cooperation on monetary international problems	0
64	11064	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What government can do is to create a climate so that business develops	What government can do is create a climate so that business develops	0
65	11065	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And what he did was to create system and order	And what he did was create system and order	0
66	11066	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What Chairman Arafat needs to do is to deal with the terrorists in his midst	What Chairman Arafat needs to do is deal with the terrorists in his midst	0
67	11067	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	he's got a fairly effective military, and what we have to do is to deal with that reality	he's got a fairly effective military, and what we have to do is deal with that reality	0
68	11068	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I mean, what she's trying to do is to develop the relationship with China	I mean, what she's trying to do is develop the relationship with China	0
69	11069	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Your Honor, the first thing we would like to do is to do our own tests	Your Honor, the first thing we would like to do is do our own tests	0
70	11070	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I guess the next best thing for him to do is to do a Jackson album, I think	I guess the next best thing for him to do is do a Jackson album, I think	0
71	11071	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	One of the things that the TIMSS-R study permitted us to do was to do a trend analysis	One of the things that the TIMSS-R study permitted us to do was do a trend analysis	0
72	11072	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, what we have to do is to do what the United Nations intends	Well, what we have to do is do what the United Nations intends	0
73	11073	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	We felt that the best thing we could do was to do something positive out of this	We felt that the best thing we could do was do something positive out of this	0
74	11074	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Major Rader, what I'd like to do is to draw your attention to the screen now	Major Rader, what I'd like to do is draw your attention to the screen now	0
75	11075	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think the best thing for us to do is to drop the bottom rate from 15% to 10% and expand the child credit	I think the best thing for us to do is drop the bottom rate from 15% to 10% and expand the child credit	0
76	11076	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we are not going to do is to dump a large number of changes on the Medicare population	What we are not going to do is dump a large number of changes on the Medicare population	0
77	11077	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The only thing left for fans to do is to enjoy each game as it comes	The only thing left for fans to do is enjoy each game as it comes	0
78	11078	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	All you can do is to enjoy the present moment, is that not so	All you can do is enjoy the present moment, is that not so	0
79	11079	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	It will be good for all farmers because what it will do is to expand markets	It will be good for all farmers because what it will do is expand markets	0
80	11080	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you have to do is to figure out a way of power sharing among these various communities	What you have to do is figure out a way of power sharing among these various communities	0
81	11081	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	You know, the toughest thing to do is to figure out when to take out a pitcher after he's walked four batters	You know, the toughest thing to do is figure out when to take out a pitcher after he's walked four batters	0
82	11082	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But if the job that you are trying to do is to find the truth, then sharing the values is actually counterproductive	But if the job that you are trying to do is find the truth, then sharing the values is actually counterproductive	0
83	11083	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So the first thing we're going to do is to find out what the Justice Department has done here	So the first thing we're going to do is find out what the Justice Department has done here	0
84	11084	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what this program is trying to do is to find a creative way of developing our work force from within	So what this program is trying to do is find a creative way of developing our work force from within	0
85	11085	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So what we have to do is to find the 80 percent of stuff that everybody agrees on	So what we have to do is find the 80 percent of stuff that everybody agrees on	0
86	11086	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing they need to do is to find out the manner and the cause of death	The first thing they need to do is find out the manner and the cause of death	0
87	11087	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think what we need to do is to focus on the problem	I think what we need to do is focus on the problem	0
88	11088	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	One of the things I encourage business owners to do is to focus on what I would call your best and highest use, Caroline	One of the things I encourage business owners to do is focus on what I would call your best and highest use, Caroline	0
89	11089	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we're trying to do is to focus attention on how the system actually works	What we're trying to do is focus attention on how the system actually works	0
90	11090	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And I think what they want us to do is to focus on the business of the country	And I think what they want us to do is focus on the business of the country	0
91	11091	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But the fact of the matter is that what we need to do is to get behind whoever's the president, whichever way the Supreme Court dealt this	But the fact of the matter is that what we need to do is get behind whoever's the president, whichever way the Supreme Court dealt this	0
92	11092	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	In many ways the best thing to do is to get the Belgrade Serbs to distance themselves from the Bosnian Serbs	In many ways the best thing to do is get the Belgrade Serbs to distance themselves from the Bosnian Serbs	0
93	11093	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	But what we continue to work to do is to get as close as possible to safety	But what we continue to work to do is get as close as possible to safety	0
94	11094	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So from my perspective, the most important thing to do is to get this to happen quickly	So from my perspective, the most important thing to do is get this to happen quickly	0
95	11095	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, I think what he's trying to do is to get a stimulus package that will in fact get us out of this	Well, I think what he's trying to do is get a stimulus package that will in fact get us out of this	0
96	11096	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you're enabling the parent to do is to get the child started on the right foot, if you will	What you're enabling the parent to do is get the child started on the right foot, if you will	0
97	11097	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing they want them to do is to get these armed thugs under control	The first thing they want them to do is get these armed thugs under control	0
98	11098	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think what he's trying to do is to get them to comply with the court order	I think what he's trying to do is get them to comply with the court order	0
99	11099	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And so now what Brunet has done is to give us the first hard evidence for this six- to seven million-year period	And so now what Brunet has done is give us the first hard evidence for this six- to seven million-year period	0
100	11100	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What they will not do is to give him a state funeral	What they will not do is give him a state funeral	0
101	11101	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And one of the things that this legislation is going to do is to give people an incentive to move quickly through the system	And one of the things that this legislation is going to do is give people an incentive to move quickly through the system	0
102	11102	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you have to do is to give them something, and bait them	What you have to do is give them something, and bait them	0
103	11103	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	So now, what we try to do is to give them everything we have	So now, what we try to do is give them everything we have	0
104	11104	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What the Unionists have done and what Britain has done is to give up sovereignty	What the Unionists have done and what Britain has done is give up sovereignty	0
105	11105	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we want to do is to give to the American people what they have already given to us	What we want to do is give to the American people what they have already given to us	0
106	11106	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	You say the first thing to do is to go after what you want	You say the first thing to do is go after what you want	0
107	11107	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	And from what I've heard, the best thing they could do is to go back to the constitution that was drafted in 1954	And from what I've heard, the best thing they could do is go back to the constitution that was drafted in 1954	0
108	11108	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Congressman Davis suggests that one of the things you could do is to go back on your opposition to expanding the children's health program	Congressman Davis suggests that one of the things you could do is go back on your opposition to expanding the children's health program	0
109	11109	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, what I'm trying to do is to go through all the things that people are saying	Well, what I'm trying to do is go through all the things that people are saying	0
110	11110	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What John McCain has said that he wanted to do is to go into those districts where he could help	What John McCain has said that he wanted to do is go into those districts where he could help	0
111	11111	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	do that, when you say to them, all I want to do is to go to work	do that, when you say to them, all I want to do is go to work	0
112	11112	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	The first thing we did was to go to the church every single morning while we were here	The first thing we did was go to the church every single morning while we were here	0
113	11113	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	All Misty had to do was to go on stage and perform	All Misty had to do was go on stage and perform	0
114	11114	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you have to do is to have two cells	What you have to do is have two cells	0
115	11115	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	Well, I think the most important thing to do is to have people understand that identifying child abuse is not that simple	Well, I think the most important thing to do is have people understand that identifying child abuse is not that simple	0
116	11116	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	because the neighborhoods of America were segregated, then what we had to do was to have kids bused to schools in neighborhoods other than their own	because the neighborhoods of America were segregated, then what we had to do was have kids bused to schools in neighborhoods other than their own	0
117	11117	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I mean, I think the first thing that we can do is to have Congress come up and pass the Clean Air Act	I mean, I think the first thing that we can do is have Congress come up and pass the Clean Air Act	0
118	11118	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think the most interesting thing that he has done is to have dinner with Charles and a bunch of other conservative columnists	I think the most interesting thing that he has done is have dinner with Charles and a bunch of other conservative columnists	0
119	11119	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you have -- what we're trying to do is to help the Iraqis develop criteria for measuring the capabilities of their forces	What you have -- what we're trying to do is help the Iraqis develop criteria for measuring the capabilities of their forces	0
120	11120	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What we really need to do is to start looking for ways to increase our sense of control	What we really need to do is start looking for ways to increase our sense of control	0
121	11121	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	It seems to me what -- what -- what Baker and company did was to indicate that any photo could be, you know, changed or manipulated	It seems to me what -- what -- what Baker and company did was indicate that any photo could be, you know, changed or manipulated	0
122	11122	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	What you have to do is to insure that one person is not set upon by another	What you have to do is insure that one person is not set upon by another	0
123	11123	COCA	TWasow	do-be-construction	to_realised	syllabic	mixed	I think that maybe the best thing that you can do is to keep observing because I think that you're a good observer	I think that maybe the best thing that you can do is keep observing because I think that you're a good observer	0
124	12000	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	Perhaps what I do is actively participate	Perhaps what I do is to actively participate	0
125	12001	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	And what we want to do is actually add these vermicelli	And what we want to do is to actually add these vermicelli	0
126	12002	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	So all you do is actually get the garlic , and we have some ginger	So all you do is to actually get the garlic , and we have some ginger	0
127	12003	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	What the House bill does is actually move back from current law	What the House bill does is to actually move back from current law	0
128	12004	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	One thing that you can do is actually soak your fingers in a denture cleaner	One thing that you can do is to actually soak your fingers in a denture cleaner	0
129	12005	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	What they want to do is actually stay here	What they want to do is to actually stay here	0
130	12006	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	First thing you'll want to do is always sit , get down next to the dog	First thing you'll want to do is to always sit , get down next to the dog	0
131	12007	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	Well , that would be true , if what people continued to do was basically spend their retirement money today and not prepare for their financial future	Well , that would be true , if what people continued to do was to basically spend their retirement money today and to not prepare for their financial future	0
132	12008	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	What smart technology does is basically tailor that deployment	What smart technology does is to basically tailor that deployment	0
133	12009	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	What we're looking to do is definitely take a step toward healing	What we're looking to do is to definitely take a step toward healing	0
134	12010	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	But when you hear that sound , what you want to do is either leave the room or put your hands over your ears	But when you hear that sound , what you want to do is to either leave the room or put your hands over your ears	0
135	12011	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	What we plan to do is essentially start from the top and work our way back	What we plan to do is to essentially start from the top and to work our way back	0
136	12012	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	And so what you have to do is externally motivate your kid	And so what you have to do is to externally motivate your kid	0
137	12013	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	So what we had to do was immediately make a decision which path do we take home	So what we had to do was to immediately make a decision which path do we take home	0
138	12014	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	Basically what we're trying to do is just add a little color to the game	Basically what we're trying to do is to just add a little color to the game	0
139	12015	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	The deniers , as you call them - all the deniers want to do is just argue facts to the people who disagree	The deniers , as you call them - all the deniers want to do is to just argue facts to the people who disagree	0
140	12016	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	And I finally figured out what he wanted me to do was just be less conservative and be more like him	And I finally figured out what he wanted me to do was to just be less conservative and to be more like him	0
141	12017	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	But what we want to do is just be able to feel them	But what we want to do is to just be able to feel them	0
142	12018	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	And so what Bruce was really able to do was just breathe normally	And so what Bruce was really able to do was to just breathe normally	0
143	12019	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	So all I do is just converse with my brother and I know exactly what Jess is	So all I do is to just converse with my brother and I know exactly what Jess is	0
144	12020	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	Throughout this whole thing all he had to do was just get away from us	Throughout this whole thing all he had to do was to just get away from us	0
145	12021	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	That's why , for the most part , what the media tries to do is just give you what the frontrunners are saying	That's why , for the most part , what the media tries to do is to just give you what the frontrunners are saying	0
146	12022	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	I mean , the one thing you never do is just go to the standard biography of some guy	I mean , the one thing you never do is to just go to the standard biography of some guy	0
147	12023	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	All it has to do is just jump down that hill right there	All it has to do is to just jump down that hill right there	0
148	12024	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	There are those who say that what you've done is just layer on more bureaucracy	There are those who say that what you've done is to just layer on more bureaucracy	0
149	12025	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	But I said , as a good friend , what she should do is just love her friend	But I said , as a good friend , what she should do is to just love her friend	0
150	12026	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	And so all Republicans have to do is just ratchet the thing up	And so all Republicans have to do is to just ratchet the thing up	0
151	12027	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	And it may be that all we need to do is just recognize that we're feeling hurt	And it may be that all we need to do is to just recognize that we're feeling hurt	0
152	12028	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	There has been criticism that generally what the Palestinian party has done is just round up the usual suspects , not really go after the leaders	There has been criticism that generally what the Palestinian party has done is to just round up the usual suspects , not really go after the leaders	0
153	12029	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	All you have to do is just say yes	All you have to do is to just say yes	0
154	12030	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	My question is for Senator Lugar and what I'd like to do is just say one thing- well , two things	My question is for Senator Lugar and what I'd like to do is to just say one thing- well , two things	0
155	12031	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	Right now , what we're trying to do is just show people that we're here	Right now , what we're trying to do is to just show people that we're here	0
156	12032	COCA	TWasow	do-be-construction	to_dropped	syllabic	mixed	All you could do is just sit there and smile back	All you could do is to just sit there and smile back	0
